2016_ICC_World_Twenty20_warm-up_matches	['20160601', '20160602', '20160603', '20160604', '20160605']	[8, 6, 13, 7, 5]	39	11
2016_Georgia_Swarm_season	['20160601', '20160602', '20160603', '20160604', '20160605']	[6, 4, 11, 4, 10]	35	15
Orb_swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[8, 4, 6, 8, 7]	33	9
Global_warming_in_Luxembourg	['20160601', '20160602', '20160603', '20160604', '20160605']	[7, 5, 2, 10, 5]	29	5
Leg_warmers	['20160601', '20160602', '20160603', '20160604', '20160605']	[11, 5, 5, 2, 5]	28	-4
2011_Rugby_World_Cup_warm-up_matches	['20160601', '20160602', '20160603', '20160604', '20160605']	[6, 2, 10, 4, 4]	26	10
Exercise_Swarmer	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 6, 3, 9, 5]	26	8
Scientific_consensus_on_global_warming	['20160601', '20160602', '20160603', '20160604', '20160605']	[9, 4, 6, 3, 4]	26	0
Economists_global_warming_has_steep_price	['20160603', '20160605']	[8, 16]	24	24
2003_Rugby_World_Cup_warm-up_matches	['20160601', '20160602', '20160603', '20160604', '20160605']	[5, 3, 11, 3, 1]	23	7
2009_Minnesota_Swarm_season	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 1, 9, 6, 4]	23	15
2007_Minnesota_Swarm_season	['20160601', '20160602', '20160603', '20160604', '20160605']	[1, 1, 7, 4, 9]	22	18
2007_Rugby_World_Cup_warm-up_tests	['20160601', '20160602', '20160603', '20160604', '20160605']	[11, 1, 3, 4, 3]	22	-2
Strawberry_Shortcake:_Housewarming_Surprise	['20160601', '20160602', '20160603', '20160604', '20160605']	[6, 3, 4, 3, 6]	22	4
Effect_of_global_warming_on_oceans	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 2, 3, 1, 12]	21	11
Dyke_swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[4, 4, 7, 1, 4]	20	4
GeoDefense_Swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[5, 1, 2, 9, 3]	20	8
Global_warming_and_wine	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 5, 6, 5, 1]	20	4
Starswarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[7, 2, 7, 1, 3]	20	2
Swarmcast	['20160601', '20160602', '20160603', '20160604', '20160605']	[8, 4, 4, 1, 3]	20	-4
2007_Rugby_World_Cup_warm-up_matches	['20160601', '20160603', '20160604', '20160605']	[3, 10, 4, 2]	19	13
2013_Minnesota_Swarm_season	['20160601', '20160602', '20160603', '20160604', '20160605']	[1, 2, 9, 4, 3]	19	13
2014_ICC_World_Twenty20_warm-up_matches	['20160601', '20160602', '20160603', '20160604', '20160605']	[1, 4, 9, 4, 1]	19	9
2015_Minnesota_Swarm_season	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 1, 9, 2, 4]	19	11
Happiness_is_a_warm_gun	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 3, 6, 3, 4]	19	7
Benchwarmer_Productions	['20160601', '20160603', '20160604']	[4, 8, 6]	18	10
Cincinnati_Swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[4, 1, 2, 9, 2]	18	8
Global_warming_in_Hawaii	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 1, 1, 9, 4]	18	10
2006_Minnesota_Swarm_season	['20160601', '20160603', '20160604']	[2, 11, 4]	17	13
Franklin_dike_swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[1, 2, 3, 8, 3]	17	11
Independence_dike_swarm	['20160601', '20160602', '20160603', '20160605']	[3, 1, 2, 11]	17	9
Kangaamiut_dike_swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[4, 1, 3, 1, 8]	17	7
2010_Minnesota_Swarm_season	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 2, 7, 3, 1]	16	6
2012_Minnesota_Swarm_season	['20160601', '20160602', '20160603', '20160604', '20160605']	[1, 2, 9, 3, 1]	16	10
Earthquake_swarms	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 1, 4, 5, 3]	16	8
Editorial_canada_™s_warm_embrace_of_refugees	['20160603']	[16]	16	16
Global_warming_taxes	['20160601', '20160602', '20160603', '20160604', '20160605']	[3, 2, 3, 7, 1]	16	6
Sudbury_dike_swarm	['20160601', '20160602', '20160603', '20160605']	[9, 2, 2, 3]	16	-6
Swarm_Development_Group	['20160601', '20160602', '20160603', '20160604', '20160605']	[5, 6, 3, 1, 1]	16	-6
Tortilla_warmer	['20160601', '20160603', '20160604', '20160605']	[5, 3, 5, 3]	16	6
2009–15_Oklahoma_earthquake_swarms	['20160601', '20160603', '20160604']	[1, 9, 5]	15	13
2014_Minnesota_Swarm_season	['20160601', '20160603', '20160604', '20160605']	[4, 8, 2, 1]	15	7
Bella_Bella_and_Gale_Passage_dike_swarms	['20160601', '20160603', '20160604', '20160605']	[1, 8, 4, 2]	15	13
