Flare_fitting	['20160601', '20160602', '20160603', '20160604', '20160605']	[132, 100, 96, 55, 44]	427	-37
The_New_Andy_Griffith_Show	['20160601', '20160602', '20160603', '20160604', '20160605']	[101, 120, 86, 70, 44]	421	-21
Jaye_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[47, 43, 46, 176, 108]	420	240
Glossary_of_graffiti	['20160601', '20160602', '20160603', '20160604', '20160605']	[108, 93, 102, 57, 53]	413	11
Gourmet_Girl_Graffiti	['20160601', '20160602', '20160603', '20160604', '20160605']	[82, 69, 77, 88, 97]	413	111
Andy_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[126, 106, 74, 54, 51]	411	-53
Pipe_fitting	['20160601', '20160602', '20160603', '20160604', '20160605']	[86, 110, 94, 45, 64]	399	7
Lack-of-fit_sum_of_squares	['20160601', '20160602', '20160603', '20160604', '20160605']	[104, 94, 75, 50, 73]	396	0
Alexamenos_graffito	['20160601', '20160602', '20160603', '20160604', '20160605']	[79, 84, 85, 62, 69]	379	53
Pipefitter	['20160601', '20160602', '20160603', '20160604', '20160605']	[106, 90, 81, 39, 54]	370	-22
Tracy_Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[78, 80, 65, 67, 64]	354	38
Benefit_of_clergy	['20160601', '20160602', '20160603', '20160604', '20160605']	[78, 68, 79, 45, 76]	346	54
Nonprofit	['20160601', '20160602', '20160603', '20160604', '20160605']	[88, 67, 79, 53, 51]	338	28
Smurfit_Kappa_Group	['20160601', '20160602', '20160603', '20160604', '20160605']	[103, 69, 69, 50, 45]	336	-8
For-profit_school	['20160601', '20160602', '20160603', '20160604', '20160605']	[52, 57, 67, 45, 112]	333	115
List_of_health_and_fitness_magazines	['20160601', '20160602', '20160603', '20160604', '20160605']	[74, 73, 69, 65, 42]	323	29
Malaysian_cultural_outfits	['20160601', '20160602', '20160603', '20160604', '20160605']	[91, 70, 46, 61, 55]	323	1
Benefit_society	['20160601', '20160602', '20160603', '20160604', '20160605']	[107, 74, 66, 42, 32]	321	-41
Low-profit_limited_liability_company	['20160601', '20160602', '20160603', '20160604', '20160605']	[69, 83, 67, 39, 61]	319	15
Graffiti_in_New_York_City	['20160601', '20160602', '20160603', '20160604', '20160605']	[56, 72, 50, 70, 59]	307	51
Darrell_Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[56, 71, 53, 58, 64]	302	48
Selina_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[76, 65, 58, 59, 41]	299	17
Not-for-profit	['20160601', '20160602', '20160603', '20160604', '20160605']	[56, 66, 71, 41, 61]	295	51
Benefit_concert	['20160601', '20160602', '20160603', '20160604', '20160605']	[67, 63, 68, 47, 49]	294	34
Misfits_of_Science	['20160601', '20160602', '20160603', '20160604', '20160605']	[57, 62, 69, 55, 47]	290	52
Shoe-fitting_fluoroscope	['20160601', '20160602', '20160603', '20160604', '20160605']	[78, 64, 53, 45, 46]	286	2
Morgan_Amalfitano	['20160601', '20160602', '20160603', '20160604', '20160605']	[68, 57, 58, 52, 45]	280	30
Billboard_Utilising_Graffitists_Against_Unhealthy_Promotions	['20160601', '20160602', '20160603', '20160604', '20160605']	[63, 65, 51, 51, 38]	268	12
Graffiti_on_the_Train	['20160601', '20160602', '20160603', '20160604', '20160605']	[60, 38, 56, 58, 55]	267	71
Laurent_Lafitte	['20160601', '20160602', '20160603', '20160604', '20160605']	[44, 61, 44, 58, 57]	264	54
Griffith_R._Harsh	['20160601', '20160602', '20160603', '20160604', '20160605']	[77, 61, 53, 35, 36]	262	-14
Finn_(Misfits)	['20160601', '20160602', '20160603', '20160604', '20160605']	[53, 38, 41, 60, 68]	260	78
Profit_(TV_series)	['20160601', '20160602', '20160603', '20160604', '20160605']	[65, 51, 45, 48, 49]	258	26
Gattlin_Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[40, 63, 43, 55, 49]	250	44
Banda_Grafith	['20160603', '20160604', '20160605']	[40, 120, 80]	240	240
Benefits_Supervisor_Sleeping	['20160601', '20160602', '20160603', '20160604', '20160605']	[59, 51, 54, 34, 42]	240	20
Riley_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[63, 46, 36, 34, 55]	234	16
David_J._Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[57, 35, 44, 47, 50]	233	49
Limits_and_fits	['20160601', '20160602', '20160603', '20160604', '20160605']	[42, 60, 51, 30, 50]	233	29
Customer_profitability	['20160601', '20160602', '20160603', '20160604', '20160605']	[57, 50, 40, 39, 42]	228	14
D.W._Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[55, 47, 49, 47, 28]	226	22
Social_Club_Misfits	['20160601', '20160602', '20160603', '20160604', '20160605']	[68, 48, 33, 42, 33]	224	-8
Benefits_(How_I_Met_Your_Mother)	['20160601', '20160602', '20160603', '20160604', '20160605']	[47, 53, 43, 41, 37]	221	21
The_Outfit_(video_game)	['20160601', '20160602', '20160603', '20160604', '20160605']	[59, 38, 33, 48, 43]	221	27
Robert_Griffiths_(politician)	['20160601', '20160602', '20160603', '20160604', '20160605']	[34, 49, 20, 37, 75]	215	49
With-profits_policy	['20160601', '20160602', '20160603', '20160604', '20160605']	[67, 55, 44, 16, 25]	207	-37
D._W._Griffith_filmography	['20160601', '20160602', '20160603', '20160604', '20160605']	[23, 38, 66, 42, 37]	206	84
Office_of_profit	['20160601', '20160602', '20160603', '20160604', '20160605']	[47, 44, 50, 39, 23]	203	21
Stansted_Mountfitchet	['20160601', '20160602', '20160603', '20160604', '20160605']	[53, 35, 34, 34, 46]	202	26
For-profit	['20160601', '20160602', '20160603', '20160604', '20160605']	[55, 35, 49, 27, 31]	197	17
Misfit_(DC_Comics)	['20160601', '20160602', '20160603', '20160604', '20160605']	[38, 44, 46, 32, 34]	194	30
Fringe_benefits_tax_(India)	['20160601', '20160602', '20160603', '20160604', '20160605']	[46, 44, 57, 32, 14]	193	13
General_fitness_training	['20160601', '20160602', '20160603', '20160604', '20160605']	[37, 25, 63, 47, 19]	191	67
Crossfit	['20160601', '20160602', '20160603', '20160604', '20160605']	[44, 38, 40, 28, 38]	188	24
Susan_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[109, 41, 14, 11, 13]	188	-112
David_Fifita	['20160601', '20160602', '20160603', '20160604', '20160605']	[78, 45, 24, 26, 14]	187	-59
Bullet_(Misfits_song)	['20160601', '20160602', '20160603', '20160604', '20160605']	[42, 34, 47, 29, 33]	185	33
Jean_Lafitte_National_Historical_Park_and_Preserve	['20160601', '20160602', '20160603', '20160604', '20160605']	[40, 51, 36, 30, 27]	184	2
Profit_(real_property)	['20160601', '20160602', '20160603', '20160604', '20160605']	[36, 37, 48, 27, 31]	179	33
Tax_amortization_benefit	['20160601', '20160602', '20160603', '20160604', '20160605']	[54, 57, 38, 11, 18]	178	-44
Bede_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[32, 44, 41, 34, 26]	177	25
Infitah	['20160601', '20160602', '20160603', '20160604', '20160605']	[42, 47, 28, 24, 36]	177	-1
